省庁名,部局名,部局所名,会計名,分類種類名,根拠法令,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,鳩が丘記念緑地敷地（都市計画緑地）,北海道岩見沢市総合公園４７番１,岩見沢市,"83,166",575.92,"83,166",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,幾春別川リバーパークＮｏ．１０敷地,北海道岩見沢市北本町東１丁目３５番外,岩見沢市,"14,459,596","2,142.06","14,459,596",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,,
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,元町公園敷地（都市）,北海道岩見沢市元町２条東４丁目６番、９番,岩見沢市,"2,150,237",863.56,"2,150,237",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,,
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,都市公園ウトナイ緑地（都市）,北海道苫小牧市字沼の端字植苗,苫小牧市,"4,020,416","1,072,581.81","4,020,416",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,勇払海岸緑地敷地,北海道苫小牧市真砂町１１番４,苫小牧市,"30,490,068","47,139.25","30,490,068",0,0,0,0,0,0,市街化区域,工業専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第２項第２号,ひよし保育園敷地,北海道苫小牧市日吉町２丁目５番１５のうち,社会福祉法人　苫小牧市福祉事業協会,"25,087,703","1,532.60","25,087,703",0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,緑ケ丘公園敷地,北海道苫小牧市字高丘２６先,苫小牧市,"6,841,541","5,776.58","6,841,541",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,都市公園「錦大沼公園」敷地,北海道苫小牧市字樽前５３３番１外,苫小牧市,"456,926","16,003.50","456,926",0,0,0,0,0,0,市街化区域,準工業地域,60,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,都市公園　錦大沼公園敷地（総合）,北海道苫小牧市字樽前４２１−１地先ほか,苫小牧市,"257,029","1,615.69","257,029",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,東明公園（総合）,北海道美唄市字美唄及茶志内７９３１外３,美唄市,"151,033","48,198.44","151,033",0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第１項,上水道配管布設敷地,北海道芦別市上芦別町　野花南町,芦別市,"471,598","2,219.70","471,598",0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,400
