省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,不動産の信託受益権価格　（円）,地上権等数量,地上権等価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都国分寺市東戸倉２−１８−３外１筆,"48,925,119",237.93,"48,918,938",65.14,127.06,2,0,"6,179",0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都東久留米市上の原２丁目３７１番２のうち,"1,082,291,132","12,395.44","1,078,403,280",693.94,"2,775.80","3,887,833",0,19,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,オープンスペース,神奈川県横浜市中区山下町２７９番２４,"22,735,874",229.38,"20,503,897",59.2,59.2,"2,231,966",0,11,0,0,0,市街化区域,商業地域,80,400
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県川崎市高津区蟹ヶ谷字西田原２１６,"785,070,038","7,974.81","741,657,331","1,651.48","8,121.14","35,803,634",0,"7,609,073",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県横浜市南区中村町４−２７４−１０,"247,050,881","1,525.32","233,421,244",233.28,846.64,"13,383,545","163,782","82,310",0,0,0,市街化区域,近隣商業地域,80,300
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県大和市南林間６−３５７７−１,"716,410,683","9,139.43","715,156,121",0,0,0,0,"1,254,562",0,0,0,市街化区域,第一種低層住居専用地域,50,80
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県横浜市港南区野庭町字三田町４８１−３　外２筆,"285,268,469","1,854.53","251,926,773",389.35,967.46,"32,764,042",0,"577,654",0,0,0,市街化区域,第一種低層住居専用地域,50,80
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県横浜市金沢区六浦４−３９１５　外１筆,"107,755,825",724,"98,500,200",265.68,719.28,"9,255,614",0,11,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県川崎市高津区蟹ヶ谷字西田原２２０−１,"346,711,092","3,492.96","324,845,279",677.89,"2,935.03","20,155,106","1,060,762","649,945",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県横浜市中区山手町４−１７,"163,345,975",625.94,"162,243,648",96.42,96.42,2,"961,177","141,148",0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県横浜市栄区笠間３−３７５外９筆,"351,691,849","2,983.94","304,361,881",884.95,"3,636.21","46,706,018","500,634","123,316",0,0,0,市街化区域,第二種住居地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県横浜市港北区菊名５−５３８−１外７筆,"266,733,173","1,268.61","245,444,319",363.32,986.27,"19,869,844","78,444","1,340,566",0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県横浜市金沢区泥亀２−８８,"345,769,812","2,024.62","312,757,223",586.34,"2,717.54","32,859,071",0,"153,518",0,0,0,市街化区域,近隣商業地域,80,300
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県横浜市南区三春台２９番２　外１筆,"365,706,599","2,401.83","346,075,435",548.61,"1,760.14","18,322,011","1,454","1,307,699",0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,神奈川県横浜市神奈川区子安台１−４８−２,"541,592,314","2,670.10","512,050,417",700.58,"2,183.81","28,757,860",0,"784,037",0,0,0,市街化区域,準住居地域,60,200
