省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,船舶数量,船舶価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０４６泡瀬通信施設,沖縄県沖縄市字高原ほか,"160,519,786","10,773.14","160,519,786",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０３２キャンプ・シールズ,沖縄県沖縄市字知花曲茶原ほか,"140,906,806","11,480.78","140,906,806",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０１１キャンプ・ハンセン,沖縄県国頭郡金武町字金武長久保原ほか,"22,372,304","36,966.10","22,372,304",0,0,0,0,0,0,0,0,都市計画区域外,,70,400
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６００５伊江島補助飛行場,沖縄県国頭郡伊江村字西江上ほか,"353,776,620","673,853.00","353,776,620",0,0,0,0,0,0,0,0,都市計画区域外,,,
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０４８ホワイト・ビーチ地区,沖縄県うるま市勝連平敷屋ほか,"428,106,578","85,369.00","428,106,578",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０２２嘉手納弾薬庫地区,沖縄県中頭郡読谷村字親志親志原ほか,"1,716,954,813","478,759.43","1,716,954,813",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０３６トリイ通信施設,沖縄県中頭郡読谷村字楚辺前原,"284,371,170","41,646.26","284,371,170",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０３７嘉手納飛行場,沖縄県中頭郡嘉手納町字屋良前原ほか,"16,540,705,843","989,987.59","16,540,705,843",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０４３キャンプ桑江,沖縄県中頭郡北谷町字桑江前原ほか,"57,495,700","3,531.00","57,495,700",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,50,100
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０１０辺野古弾薬庫,沖縄県名護市字辺野古,"17,209,374","9,529.00","17,209,374",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,八重山財務出張所,一般会計,普通財産,ＦＡＣ６０８５赤尾嶼射爆撃場,沖縄県石垣市字登野城大正島,"579,201","41,371.60","579,201",0,0,0,0,0,0,0,0,都市計画区域外,,,
