省庁名,部局名,部局所名,会計名,分類種類,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,都市計画区域,用途地域,建ぺい率,容積率,処理方法
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市母恋南町４丁目３２番１３５,"7,912,477","1,685.72","7,912,477",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市海岸町１丁目２８番６,"7,400,085",719.3,"7,400,085",市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市清水町２丁目１番,"10,014,259",827.83,"10,014,259",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市清水町２丁目２１番９　外１筆,"6,542,427","1,006.93","6,542,427",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市清水町２丁目２６番　外２筆,"7,691,686","1,183.81","7,691,686",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市絵鞆町２丁目３１番４　外３筆,"20,621,442","2,284.97","20,621,442",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市絵鞆町３丁目２番１６　外３筆,"4,811,350",743.87,"4,811,350",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市西小路町９８番２,"657,151",118.93,"657,151",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市千歳町１５番２、２６番２、２６番３,"13,326,651","1,139.03","13,326,651",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市宮本２丁目２０番２３,"11,878,740","1,666.49","11,878,740",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
